Fuel,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH
CNG ONLY,0,1208,0,0,1,9610,0,100,8,2536,31,4,59,0,5,0,13562
DIESEL,0,0,0,0,0,1442,14,6850,199,477,10337,139,1239,138,526,2651,56128
DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
ELECTRIC(BOV),0,4573,0,0,0,2246,0,0,105,129,754,66,0,0,0,0,7873
ETHANOL,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
LNG,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25
LPG ONLY,0,0,0,0,0,1251,0,0,0,0,0,0,0,0,0,0,1251
NOT APPLICABLE,0,0,0,0,0,0,0,4,0,49,2569,0,6,141,0,0,2769
PETROL,106,256556,0,0,17,39,0,0,426,25505,273,0,0,0,0,0,282922
PETROL/CNG,0,0,0,0,1,15,0,0,0,0,294,23994,8489,0,0,32793,32793
PETROL/ETHANOL,1,8257,0,0,0,1,1,0,0,806,0,0,0,0,0,0,9065
PETROL/HYBRID,0,0,0,0,0,0,3,0,0,3514,30,3,0,0,0,0,3547
PETROL/LPG,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
PLUG-IN HYBRID EV,0,23750,0,0,200,0,0,0,39,57,1885,88,0,0,0,0,5
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26019
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288
